Wavelength,l
1030.7422159360442,3.0325296896003167
1033.4409246219732,3.0710971895078254
1036.139633307902,3.0974854789182267
1038.838341993831,3.1441724524904746
1041.53705067976,3.1746204787332446
1044.2357593656886,3.2070983733921996
1046.9344680516176,3.235516531218785
1049.6331767375464,3.26799442587774
1052.3318854234753,3.288293110039587
1055.0305941094043,3.3370099520280196
1057.729302795333,3.365428109854605
1060.428011481262,3.3694878466869747
1063.126720167191,3.3999358729297446
1065.8254288531198,3.424294293923961
1068.5241375390488,3.4506825833343617
1071.2228462249777,3.491279951658056
1073.9215549109065,3.5115786358199026
1076.6202635968355,3.52781758314938
1079.3189722827644,3.539996793646488
1082.0176809686932,3.5440565304788576
1084.7163896546222,3.5481162673112268
1087.415098340551,3.5481162673112268
1090.11380702648,3.5440565304788576
1092.8125157124089,3.539996793646488
1095.5112243983376,3.52781758314938
1098.2099330842666,3.5156383726522717
1100.9086417701956,3.507518898987533
1103.6073504561243,3.4872202148256863
1106.3060591420533,3.46286179383147
1109.0047678279823,3.4141449518430376
1111.703476513911,3.3877566624326367
1114.40218519984,3.393846267681191
1114.40218519984,3.2801736363748484
1117.1008938857688,3.353248899357497
1117.1008938857688,3.223337320721677
1119.7996025716977,3.3045320573690646
1119.7996025716977,3.2152178470569384
1119.7996025716977,3.0934257420858575
1122.4983112576267,3.2395762680511546
1122.4983112576267,3.1502620577390283
1122.4983112576267,3.0609478474269025
1122.4983112576267,2.9452453477043754
1125.1970199435555,3.1502620577390283
1125.1970199435555,3.0609478474269025
1125.1970199435555,2.971633637114776
1125.1970199435555,2.849841532143695
1127.8957286294844,3.0528283737621633
1127.8957286294844,2.9635141634500375
1127.8957286294844,2.874199953137911
1127.8957286294844,2.744288374502091
1130.5944373154134,2.939155742455821
1130.5944373154134,2.849841532143695
1130.5944373154134,2.7605273218315687
1130.5944373154134,2.6712131115194424
1130.5944373154134,2.5818989012073166
1133.2931460013422,2.8011246901552624
1133.2931460013422,2.7118104798431366
1133.2931460013422,2.62249626953101
1133.2931460013422,2.4986742961437445
1135.9918546872711,2.663093637854704
1135.9918546872711,2.5737794275425774
1135.9918546872711,2.443867848906758
1138.6905633732001,2.5575404802131
1138.6905633732001,2.468226269900974
1138.6905633732001,2.348464033346078
1141.3892720591289,2.4601067962362353
1141.3892720591289,2.370792585924109
1141.3892720591289,2.2855381124443523
1144.0879807450578,2.3626731122593703
1144.0879807450578,2.242910875704474
1146.7866894309868,2.2327615336235502
1149.4853981169156,2.182014823218933
1152.1841068028446,2.145477191727609
1154.8828154887733,2.1089395602362844
1157.5815241747023,2.098790218155361
1160.2802328606313,2.0784915339935144
1162.97894154656,2.0581928498316673
1165.677650232489,2.0460136393345594
1168.376358918418,2.033834428837451
1171.0750676043467,2.021655218340343
1173.7737762902757,2.0054162710108656
1176.4724849762047,1.989177323681388
1179.1711936621334,1.9769981131842802
1181.8699023480624,1.9607591658548027
1184.5686110339914,1.9404604816929556
1187.2673197199201,1.9323410080282168
1189.966028405849,1.920161797531109
1192.6647370917779,1.9079825870340006
1195.3634457777068,1.8998631133692618
1198.0621544636358,1.8958033765368927
1200.7608631495646,1.8998631133692618
1203.4595718354935,1.9120423238663702
1206.1582805214225,1.9323410080282168
1208.8569892073513,1.9445202185253252
1211.5556978932802,1.9871474552652035
1214.2544065792092,2.0236850867565277
1216.953115265138,2.066312323496406
1219.651823951067,2.1109694286524694
1222.3505326369957,2.151566796976163
1225.0492413229247,2.196223902132226
1227.7479500088536,2.2266719283749965
1230.4466586947824,2.2591498230339515
1233.1453673807114,2.2855381124443523
