scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
scattering,2band_blue,0.9576480398235424,2.1714285714285713,1.0,0.08005693848027749,True,0,0.0,0.0,False,0,0.012149261741059842,0.9199430615197225,8.449282314004966,0.0,7.421976884695605,0.0,7.020238583766499,0.0,6.826224549646146,0.0,6.8801151201890525,0.0,6.827806752160658,0.0
scattering,2band_blue,0.9576480398235424,2.3785714285714286,1.0,0.07682402501174214,True,0,0.0,0.0,False,0,0.00934215055529016,0.9231759749882579,8.491124785412435,0.0,7.485029393104423,0.0,7.100075735690506,0.0,6.913861035139465,0.0,6.970415483656461,0.0,6.9200063385073385,0.0
scattering,2band_blue,0.9576480398235424,2.585714285714286,1.0,0.07209801290310575,True,0,0.0,0.0,False,0,0.006781503054862001,0.9279019870968943,8.485260629838713,0.04047504968079891,7.523495786281784,0.0,7.154241821211595,0.0,6.987991738253488,0.0,7.056730585583602,0.0,7.002129279489461,0.0
scattering,2band_blue,0.9576480398235424,2.7928571428571427,1.0,0.06579285745203052,True,0,0.0,0.0,True,1,0.004579710291928252,1.1008738092146362,8.421566032706297,0.4872922501836483,7.52487637733162,0.0232347471860877,7.1713020493569655,0.0,7.047655084919163,0.0,7.1206636937270105,0.0,7.073998876793819,0.0
scattering,2band_blue,0.9576480398235424,3.0,1.0,0.055992456738926374,True,2,5.389922764462132,-1.2151322999280543,True,3,0.002825804697960378,3.1678675197792323,8.252558154983948,0.9449075884957765,7.471341388601016,0.4219073213755817,7.156284330900759,0.17531004242322756,7.072567585923402,0.0,7.1687096782810045,0.0,7.126416771222966,0.0
scattering,2band_blue,1.325329558138478,0.1,1.0,0.08110329018211097,True,0,0.0,0.0,False,0,0.04133915338193612,0.9188967098178891,10.410938168594972,0.0,9.118273000626285,0.0,8.624323248406558,0.0,8.387432691894213,0.0,8.458096064821287,0.0,8.389824052216591,0.0
scattering,2band_blue,1.325329558138478,0.30714285714285716,1.0,0.08139648070943552,True,0,0.0,0.0,False,0,0.03852784138594397,0.9186035192905645,10.529976740838194,0.0,9.218581774199798,0.0,8.716854151687283,0.0,8.477363750362667,0.0,8.548822348869175,0.0,8.479305573047723,0.0
scattering,2band_blue,1.325329558138478,0.5142857142857142,1.0,0.08162819083813257,True,0,0.0,0.0,False,0,0.03569077482448076,0.9183718091618674,10.650930746293284,0.0,9.324739933796245,0.0,8.815877587701907,0.0,8.570820497001277,0.0,8.638533484946825,0.0,8.572762129725831,0.0
scattering,2band_blue,1.325329558138478,0.7214285714285714,1.0,0.08179520562503373,True,0,0.0,0.0,False,0,0.03282637111344001,0.9182047943749663,10.774742350118744,0.0,9.432675990728065,0.0,8.917517822344266,0.0,8.665411896065766,0.0,8.736148658817697,0.0,8.66859499543635,0.0
scattering,2band_blue,1.325329558138478,0.9285714285714285,1.0,0.0819156337143076,True,0,0.0,0.0,False,0,0.02993305744282399,0.9180843662856923,10.902836572127397,0.0,9.543252171833148,0.0,9.02118773258492,0.0,8.765644665937804,0.0,8.839027036124984,0.0,8.767682406213611,0.0
scattering,2band_blue,1.325329558138478,1.1357142857142857,1.0,0.08208941422956699,True,0,0.0,0.0,False,0,0.02700947149003222,0.917910585770433,11.03682445465826,0.0,9.659280764459659,0.0,9.12912986076996,0.0,8.870254277560564,0.0,8.942104978429827,0.0,8.872327480770972,0.0
scattering,2band_blue,1.325329558138478,1.342857142857143,1.0,0.0823504698906969,True,0,0.0,0.0,False,0,0.024056304839775198,0.9176495301093031,11.177456714256747,0.0,9.779417855861684,0.0,9.241886140853918,0.0,8.979308809819125,0.0,9.048789509432495,0.0,8.978062097676691,0.0
scattering,2band_blue,1.325329558138478,1.55,1.0,0.08250294488112811,True,0,0.0,0.0,False,0,0.02107607494744469,0.9174970551188719,11.321981403569048,0.0,9.902329233161367,0.0,9.35856374224815,0.0,9.091309603101273,0.0,9.162604812702723,0.0,9.090487265069356,0.0
scattering,2band_blue,1.325329558138478,1.7571428571428571,1.0,0.08240138407518127,True,0,0.0,0.0,False,0,0.018078087588053595,0.9175986159248187,11.463211509201654,0.0,10.029582031846747,0.0,9.479930005644778,0.0,9.20786509332961,0.0,9.278567110384152,0.0,9.20522302673462,0.0
scattering,2band_blue,1.325329558138478,1.9642857142857142,1.0,0.08159920555077657,True,0,0.0,0.0,False,0,0.01508609946303441,0.9184007944492234,11.58789229307612,0.0,10.155634833204186,0.0,9.600191971656585,0.0,9.324491631256176,0.0,9.4000813715635,0.0,9.326006759092014,0.0
scattering,2band_blue,1.325329558138478,2.1714285714285713,1.0,0.08005694154895912,True,0,0.0,0.0,False,0,0.012149261741059863,0.9199430584510409,11.693318557693528,0.0,10.27158719702504,0.0,9.715604599331023,0.0,9.447100385443873,0.0,9.521681821499044,0.0,9.449290062310785,0.0
scattering,2band_blue,1.325329558138478,2.3785714285714286,1.0,0.07682402792597665,True,0,0.0,0.0,False,0,0.00934215055529017,0.9231759720740234,11.751226120635025,0.0,10.35884822574743,0.0,9.826094604930551,0.0,9.568384218089813,0.0,9.646652307353175,0.0,9.576888962900515,0.0
scattering,2band_blue,1.325329558138478,2.585714285714286,1.0,0.0720980156176902,True,0,0.0,0.0,False,0,0.006781503054861975,0.9279019843823098,11.743110468127854,0.056015130275814985,10.412083491474414,0.0,9.9010573377974,0.0,9.670976828231536,0.0,9.76610742148765,0.0,9.690542368492956,0.0
scattering,2band_blue,1.325329558138478,2.7928571428571427,1.0,0.0657928599208295,True,0,0.0,0.0,True,1,0.004579710291928268,1.1008738067458372,11.65496082570926,0.6743843205058874,10.413994149722493,0.032155547697111236,9.924667707880559,0.0,9.753547452913283,0.0,9.854587149365267,0.0,9.790005738831525,0.0
scattering,2band_blue,1.325329558138478,3.0,1.0,0.05599245884530406,True,2,5.3899227644621455,-1.215132299928056,True,3,0.002825804697960383,3.167867517672854,11.421063687523766,1.3076975095918812,10.339904818351497,0.5838953567086234,9.90388405319937,0.2426189700182791,9.788024914960985,0.0,9.921080016088004,0.0,9.862549076230438,0.0
scattering,2band_blue,1.834179536355746,0.1,1.0,0.08110329271074948,True,0,0.0,0.0,False,0,0.04133915338193613,0.9188967072892505,14.40813692401378,0.0,12.619163016438488,0.0,11.93556509775783,0.0,11.60772225410983,0.0,11.705516279600936,0.0,11.611031758633004,0.0
scattering,2band_blue,1.834179536355746,0.30714285714285716,1.0,0.08139648321984794,True,0,0.0,0.0,False,0,0.03852784138594397,0.9186035167801521,14.572879430437759,0.0,12.75798456363456,0.0,12.063622521842143,0.0,11.732181643182331,0.0,11.831076214930505,0.0,11.7348690135879,0.0
scattering,2band_blue,1.834179536355746,0.5142857142857142,1.0,0.08162819332788514,True,0,0.0,0.0,False,0,0.035690774824480735,0.9183718066721148,14.74027278576109,0.0,12.904901323132842,0.0,12.200665236118256,0.0,11.861520380982528,0.0,11.955231244120354,0.0,11.864207488493735,0.0
scattering,2band_blue,1.834179536355746,0.7214285714285714,1.0,0.0817952080917916,True,0,0.0,0.0,False,0,0.032826371113440014,0.9182047919082084,14.911620892128692,0.0,13.054278589823655,0.0,12.34132944850725,0.0,11.992429412184578,0.0,12.090325004953124,0.0,11.996834637807034,0.0
scattering,2band_blue,1.834179536355746,0.9285714285714285,1.0,0.08191563615618241,True,0,0.0,0.0,False,0,0.029933057442823995,0.9180843638438176,15.088895894629724,0.0,13.20730963583472,0.0,12.484802614657966,0.0,12.131145774649003,0.0,12.23270273525558,0.0,12.13396588945844,0.0
scattering,2band_blue,1.834179536355746,1.1357142857142857,1.0,0.08208941664759639,True,0,0.0,0.0,False,0,0.02700947149003223,0.9179105833524036,15.274327382781946,0.0,13.367886504373455,0.0,12.634188283612465,0.0,12.275919433220446,0.0,12.375356651984605,0.0,12.27878862668247,0.0
scattering,2band_blue,1.834179536355746,1.342857142857143,1.0,0.08235047228694523,True,0,0.0,0.0,False,0,0.024056304839775205,0.9176495277130547,15.468954304910893,0.0,13.534149297845289,0.0,12.790236460653109,0.0,12.426844605142552,0.0,12.523001879097514,0.0,12.42511922756734,0.0
scattering,2band_blue,1.834179536355746,1.55,1.0,0.08250294725187664,True,0,0.0,0.0,False,0,0.021076074947444703,0.9174970527481233,15.66896812487513,0.0,13.704251542712614,0.0,12.951711519829303,0.0,12.581847232098415,0.0,12.68051568304193,0.0,12.580709163773568,0.0
scattering,2band_blue,1.834179536355746,1.7571428571428571,1.0,0.08240138641326028,True,0,0.0,0.0,False,0,0.018078087588053623,0.9175986135867398,15.864422431374216,0.0,13.880362063948223,0.0,13.119675416325153,0.0,12.743153296476104,0.0,12.841000803206928,0.0,12.739496828956412,0.0
scattering,2band_blue,1.834179536355746,1.9642857142857142,1.0,0.0815992078376404,True,0,0.0,0.0,False,0,0.015086099463034403,0.9184007921623596,16.03697343271198,0.0,14.05481185821288,0.0,13.286111029042178,0.0,12.904557686763289,0.0,13.009169520083356,0.0,12.90665453615021,0.0
scattering,2band_blue,1.834179536355746,2.1714285714285713,1.0,0.08005694376630725,True,0,0.0,0.0,False,0,0.012149261741059828,0.9199430562336928,16.18287729184516,0.0,14.215283230488778,0.0,13.44583543767518,0.0,13.074241118727953,0.0,13.177457517218723,0.0,13.077271505001205,0.0
scattering,2band_blue,1.834179536355746,2.3785714285714286,1.0,0.07682403003172536,True,0,0.0,0.0,False,0,0.009342150555290155,0.9231759699682747,16.263018013294634,0.0,14.336047452656096,0.0,13.598747221765418,0.0,13.242090935827353,0.0,13.350409449358557,0.0,13.253861011276085,0.0
scattering,2band_blue,1.834179536355746,2.585714285714286,1.0,0.07209801757917748,True,0,0.0,0.0,False,0,0.00678150305486198,0.9279019824208226,16.251786419113845,0.07752170397716082,14.409721984706865,0.0,13.702491313013784,0.0,13.384073180883124,0.0,13.51572842569395,0.0,13.411150758188231,0.0
scattering,2band_blue,1.834179536355746,2.7928571428571427,1.0,0.06579286170471844,True,0,0.0,0.0,True,1,0.004579710291928263,1.1008738049619482,16.12979240693142,0.9333089364191409,14.412366225332208,0.044501420197102765,13.735166701098496,0.0,13.498346154850513,0.0,13.638179257080669,0.0,13.548802316151077,0.0
scattering,2band_blue,1.834179536355746,3.0,1.0,0.05599246036731663,True,2,5.389922764462149,-1.2151322999280567,True,3,0.002825804697960389,3.167867516150842,15.806092281300339,1.8097777998747313,14.309830871292538,0.8080774386050499,13.706403323814085,0.335770636975969,13.54606097035814,0.0,13.730201542939724,0.0,13.649198103854584,0.0
scattering,2band_blue,2.5383985069430306,0.1,1.0,0.08110329453787671,True,0,0.0,0.0,False,0,0.041339153381936125,0.9188967054621233,19.940029059758164,0.0,17.464192531251392,0.0,16.5181325072823,0.0,16.06441695308879,0.0,16.199758234230654,0.0,16.068997116139258,0.0
scattering,2band_blue,2.5383985069430306,0.30714285714285716,1.0,0.08139648503380555,True,0,0.0,0.0,False,0,0.03852784138594397,0.9186035149661944,20.168023170502387,0.0,17.656313532030943,0.0,16.69535658358207,0.0,16.236661556811924,0.0,16.373525930388517,0.0,16.240380722187986,0.0
scattering,2band_blue,2.5383985069430306,0.5142857142857142,1.0,0.08162819512691441,True,0,0.0,0.0,False,0,0.03569077482448078,0.9183718048730856,20.39968590296813,0.0,17.85963783892857,0.0,16.885015782374065,0.0,16.415658897265427,0.0,16.545349317618726,0.0,16.419377698810884,0.0
scattering,2band_blue,2.5383985069430306,0.7214285714285714,1.0,0.0817952098742056,True,0,0.0,0.0,False,0,0.03282637111344002,0.9182047901257944,20.63682178238985,0.0,18.066367345622645,0.0,17.07968692531898,0.0,16.596829433061977,0.0,16.73231127744767,0.0,16.602926010807582,0.0
scattering,2band_blue,2.5383985069430306,0.9285714285714285,1.0,0.08191563792061651,True,0,0.0,0.0,False,0,0.029933057442824002,0.9180843620793835,20.88216014362847,0.0,18.27815347179556,0.0,17.27824549798028,0.0,16.788804864250068,0.0,16.929353830184777,0.0,16.792707740211657,0.0
scattering,2band_blue,2.5383985069430306,1.1357142857142857,1.0,0.08208941839480051,True,0,0.0,0.0,False,0,0.027009471490032206,0.9179105816051994,21.138786609760054,0.0,18.50038258038009,0.0,17.48498663292185,0.0,16.98916324328454,0.0,17.12677860897934,0.0,16.993134041265744,0.0
scattering,2band_blue,2.5383985069430306,1.342857142857143,1.0,0.08235047401841085,True,0,0.0,0.0,False,0,0.024056304839775184,0.9176495259815891,21.408139025240935,0.0,18.73048068056259,0.0,17.700948294122238,0.0,17.198034961387105,0.0,17.331111072967733,0.0,17.19564713850825,0.0
scattering,2band_blue,2.5383985069430306,1.55,1.0,0.08250294896491679,True,0,0.0,0.0,False,0,0.021076074947444717,0.9174970510350832,21.684946596093003,0.0,18.96589235964869,0.0,17.924420446655233,0.0,17.412549641677757,0.0,17.549101077125034,0.0,17.410974620869087,0.0
scattering,2band_blue,2.5383985069430306,1.7571428571428571,1.0,0.08240138810269418,True,0,0.0,0.0,False,0,0.018078087588053567,0.9175986118973058,21.95544406373928,0.0,19.209619146094923,0.0,18.15687277514022,0.0,17.63578791517345,0.0,17.771203211261152,0.0,17.6307275753819,0.0
scattering,2band_blue,2.5383985069430306,1.9642857142857142,1.0,0.08159920949006776,True,0,0.0,0.0,False,0,0.015086099463034408,0.9184007905099323,22.194244680301367,0.0,19.451047582363355,0.0,18.387210047173276,0.0,17.85916226604701,0.0,18.003938999319175,0.0,17.86206418445115,0.0
scattering,2band_blue,2.5383985069430306,2.1714285714285713,1.0,0.08005694536850456,True,0,0.0,0.0,False,0,0.012149261741059835,0.9199430546314954,22.39616719161492,0.0,19.673130690215253,0.0,18.6082594004999,0.0,18.09399433227312,0.0,18.236839864364036,0.0,18.098188211792007,0.0
scattering,2band_blue,2.5383985069430306,2.3785714285714286,1.0,0.0768240315532838,True,0,0.0,0.0,False,0,0.009342150555290163,0.9231759684467162,22.50707731989869,0.0,19.840261396433213,0.0,18.819880475064856,0.0,18.32628878146446,0.0,18.476195345992046,0.0,18.342577885858795,0.0
scattering,2band_blue,2.5383985069430306,2.585714285714286,1.0,0.07209801899649583,True,0,0.0,0.0,True,1,0.00678150305486197,1.0945686476701708,22.491533442467922,0.10728555941818232,19.942222692179083,0.0,18.963456303444364,0.0,18.522784005469667,0.0,18.704987257787604,0.0,18.56025780802854,0.0
