scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
calibration,2band_blue,5.999999999999998,1.0,0.01,0.08197017664909713,True,0,0.0,0.0,False,0,0.02892842842723924,0.9180298233509029,4956.751929504561,0.0,4338.220769521324,0.0,4100.548035497671,0.0,3984.6239250558683,0.0,4018.0655640061955,0.0,3985.471502710512,0.0
calibration,2band_blue,5.999999999999998,1.0,0.02682695795279726,0.08197017661649413,True,0,0.0,0.0,False,0,0.028928428427239226,0.9180298233835059,1847.6757365580168,0.0,1617.1124497807536,0.0,1528.5177106970882,0.0,1485.3059120854923,0.0,1497.7715964203203,0.0,1485.6218545997854,0.0
calibration,2band_blue,5.999999999999998,1.0,0.07196856730011521,0.08197017652903002,True,0,0.0,0.0,False,0,0.028928428427239247,0.91802982347097,688.7384472771944,0.0,602.7938212845846,0.0,569.7693019784634,0.0,553.6616990636535,0.0,558.3083997282467,0.0,553.7794695968795,0.0
calibration,2band_blue,5.999999999999998,1.0,0.19306977288832497,0.08197017629439064,True,0,0.0,0.0,False,0,0.02892842842723924,0.9180298237056094,256.73371110099333,0.0,224.69704628650643,0.0,212.38684720831475,0.0,206.38258726085758,0.0,208.1146884826097,0.0,206.4264873308667,0.0
calibration,2band_blue,5.999999999999998,1.0,0.517947467923121,0.08197017566492448,True,0,0.0,0.0,False,0,0.028928428427239233,0.9180298243350755,95.6998969293213,0.0,83.75792987108969,0.0,79.16918779312029,0.0,76.9310436255923,0.0,77.5767005893076,0.0,76.94740778812103,0.0
calibration,2band_blue,5.999999999999998,1.0,1.3894954943731375,0.08197017397625828,True,0,0.0,0.0,False,0,0.028928428427239253,0.9180298260237417,35.673033482852496,0.0,31.221553341405308,0.0,29.511056726006935,0.0,28.676767511603252,0.0,28.91744219594553,0.0,28.68286740655128,0.0
calibration,2band_blue,5.999999999999998,1.0,3.727593720314938,0.08197016944608088,True,0,0.0,0.0,False,0,0.028928428427239233,0.9180298305539192,13.297457559526565,0.0,11.638126617390041,0.0,11.00052297317215,0.0,10.689533849518382,0.0,10.779247593717686,0.0,10.69180764252867,0.0
calibration,2band_blue,5.999999999999998,1.0,10.0,0.08197015729299555,True,0,0.0,0.0,False,0,0.02892842842723926,0.9180298427070045,4.956751929504562,0.0,4.338220769521325,0.0,4.10054803549767,0.0,3.984623925055868,0.0,4.018065564006195,0.0,3.985471502710512,0.0
scattering,4band_vis,0.5,0.5,1.0,0.0814758239716524,True,0,0.0,0.0,False,0,0.08149128408897523,0.9185241760283476,4.040056142622193,0.0,3.538276833636351,0.0,3.3452996675792033,0.0,3.252603141351382,0.0,3.2778672873295838,0.0,3.2528110272482973,0.0
scattering,4band_vis,0.5,1.0,1.0,0.08198554284881547,True,0,0.0,0.0,False,0,0.07334503426031071,0.9180144571511846,4.151275597213649,0.0,3.6341275644214117,0.0,3.434584562289058,0.0,3.3376978674399425,0.0,3.363774852697739,0.0,3.338063694895379,0.0
scattering,4band_vis,0.5,1.5,1.0,0.08240077205928353,True,0,0.0,0.0,False,0,0.06450991840234105,0.9175992279407165,4.273889093520587,0.0,3.7389183210349612,0.0,3.53423399011682,0.0,3.43278061372061,0.0,3.4593822583396747,0.0,3.43226792512266,0.0
scattering,4band_vis,0.5,2.0,1.0,0.08201718132527544,True,0,0.0,0.0,False,0,0.05497333339783972,0.9179828186747245,4.399684736242509,0.0,3.8521018429554386,0.0,3.6420753548115954,0.0,3.5375707298540426,0.0,3.5638715087236266,0.0,3.536838598206469,0.0
scattering,4band_vis,2.340347319320716,0.5,1.0,0.08147584253618761,True,0,0.0,0.0,False,0,0.08149128408897523,0.9185241574638123,18.91026912658208,0.0,16.561593405230848,0.0,15.658326218686943,0.0,15.22444208535169,0.0,15.342695837981717,0.0,15.225415135754837,0.0
scattering,4band_vis,2.340347319320716,1.0,1.0,0.0819855610439151,True,0,0.0,0.0,False,0,0.07334503426031071,0.9180144389560849,19.430853431400937,0.0,17.01024140692635,0.0,16.076241546667028,0.0,15.622744513531083,0.0,15.744802918619182,0.0,15.624456840140413,0.0
scattering,4band_vis,2.340347319320716,1.5,1.0,0.0824007898348712,True,0,0.0,0.0,False,0,0.06450991840234106,0.9175992101651288,20.004769766189906,0.0,17.50073493958657,0.0,16.542670089244115,0.0,16.067797814274307,0.0,16.192311989621803,0.0,16.06539807550259,0.0
scattering,4band_vis,2.340347319320716,2.0,1.0,0.08201719849933833,True,0,0.0,0.0,False,0,0.05497333339783972,0.9179828015006617,20.593580756642854,0.0,18.0305124438223,0.0,17.04744258679473,0.0,16.558288349042673,0.0,16.681394263689633,0.0,16.554861464365096,0.0
scattering,4band_vis,10.95445115010332,0.5,1.0,0.08147584650238106,True,0,0.0,0.0,False,0,0.08149128408897521,0.918524153497619,88.51319531605934,0.0,77.51976145922333,0.0,73.29184358190655,0.0,71.26096444521265,0.0,71.81447415114725,0.0,71.26551899701776,0.0
