lambda,extinction_coefficient
528.0,1250.8493060992096
530.0,1237.1584352898242
532.0,1223.6174146203443
534.0,1210.2246039420354
536.0,1196.9783810580175
538.0,1183.877141526776
540.0,1170.9192984678284
542.0,1158.1032823695095
544.0,1145.427540898867
546.0,1132.8905387136374
548.0,1120.490757276278
550.0,1108.2266946700324
552.0,1096.0968654170142
554.0,1084.0998002982797
556.0,1072.234046175867
558.0,1060.4981658167876
560.0,1048.8907377189407
562.0,1037.410355938938
564.0,1026.0556299218047
566.0,1014.8251843325514
568.0,1003.71765888959
570.0,992.7317081999664
572.0,981.8660015964023
574.0,971.1192229761181
576.0,960.4900706414229
578.0,949.9772571420438
580.0,939.5795091191859
582.0,929.295567151299
584.0,919.1241856015268
586.0,909.064132466834
588.0,899.1141892287776
590.0,889.2731507059162
592.0,879.5398249078335
594.0,869.9130328907564
596.0,860.3916086147586
598.0,850.9743988025247
600.0,841.660262799658
602.0,832.4480724365212
604.0,823.3367118915876
606.0,814.325077556286
608.0,805.4120779013291
610.0,796.5966333444999
612.0,787.8776761198911
614.0,779.2541501485694
616.0,770.725010910661
618.0,762.2892253188329
620.0,753.945771593162
622.0,745.6936391373716
624.0,737.5318284164242
626.0,729.4593508354534
628.0,721.4752286200201
630.0,713.5784946976809
632.0,705.768192580851
634.0,698.0433762509524
636.0,690.4031100438247
638.0,682.846468536396
640.0,675.3725364345897
642.0,667.9804084624619
644.0,660.6691892525482
646.0,653.4379932374139
648.0,646.285944542391
650.0,639.2121768794864
652.0,632.2158334424547
654.0,625.2960668030175
656.0,618.4520388082194
658.0,611.6829204789067
660.0,604.9878919093183
662.0,598.3661421677741
664.0,591.8168691984536
666.0,585.3392797242439
668.0,578.932589150657
670.0,572.5960214707964
672.0,566.3288091713616
674.0,560.130193139685
676.0,553.9994225717849
678.0,547.9357548814238
680.0,541.9384556101639
682.0,536.0067983384064
684.0,530.1400645974026
686.0,524.3375437822322
688.0,518.59853306573
690.0,512.9223373133564
692.0,507.308268999001
694.0,501.7556481217047
696.0,496.2638021232958
698.0,490.83206580692644
700.0,485.4597812565018
702.0,480.14629775698893
704.0,474.89097171560064
706.0,469.69316658384
708.0,464.5522527803989
710.0,459.4676076148998
712.0,454.4386152124736
714.0,449.4646664391621
716.0,444.5451588281358
718.0,439.6794965067221
720.0,434.8670901242287
722.0,430.107356780561
724.0,425.3997199556165
726.0,420.74360943945555
728.0,416.1384612632349
730.0,411.5837176308954
732.0,407.0788268516028
734.0,402.62324327292083
736.0,398.2164272147218
738.0,393.857844903817
740.0,389.54696840930404
742.0,385.28327557862156
744.0,381.0662499743037
746.0,376.8953808114266
748.0,372.7701628957411
750.0,368.6900965624796
752.0,364.6546876158349
754.0,360.66344726910313
756.0,356.7158920854754
758.0,352.81154391948667
760.0,348.949929859097
762.0,345.13058216841176
764.0,341.3530382310285
766.0,337.61684049399923
768.0,333.92153641241435
770.0,330.2666783945844
772.0,326.65182374782785
774.0,323.0765346248492
776.0,319.54037797070674
778.0,316.0429254703555
